CopyList.csv
ranking_neg.csv
ranking_qtde.csv
ranking_fin.csv
AEDU3
ALLL4
AMBV3
BBDC3
BIDI3
BIDI4
BRAP3
CESP5
CMIG3
CPLE11
CPLE3
CTAX11
CTAX4
CTSA3
EBTP3
ELET3
EUCA3
FRTA3
GGBR3
GOAU3
IENG3
INEP3
ITSA3
ITUB3
BLUT3
KLBN3
KLBN4
LAME3
MNDL3
MODL3
MODL4
OIBR4
PETR3
PMAM4
POMO3
RANI4
RNEW3
RNEW4
RPMG4
SANB3
SANB4
SAPR3
SAPR11
SLED3
SNSL3M
SULA4
TAEE3
TAEE4
TASA3
TCNO3
TCSL4
TELB3
TIET3
TIET4
TNLP3
TOYB3
UNIP3
USIM3
VALE5
VVAR4
VVAR11
