Ticker,Date,Ajuste
BBDC4,2021-10-04,-0.016128588
BBDC3,2021-10-04,-0.0146623521
ITUB4,2021-10-04,0.824587125
ITUB3,2021-10-04,0.813123878
ODER4,2021-10-05,-0.459
CPLE5,2021-10-05,-0.530419481
EEEL3,2021-10-05,0.5
EEEL4,2021-10-05,0.49999992572
ASAI3,2021-10-06,-0.03997841339
RAIZ4,2021-10-06,-0.01380321205
ABCB4,2021-10-07,-0.1972
WLMM3,2021-10-11,-0.064192
WLMM4,2021-10-11,-0.0706095
KEPL3,2021-10-13,-9.18111533
GPAR3,2021-10-15,-47.7166004452
CEBR3,2021-10-15,-57.58207389535
CEBR5,2021-10-15,-57.58207389535
CEBR6,2021-10-15,-63.3402812849
JHSF3,2021-10-15,-0.1834719203
SANB3,2021-10-18,-0.5562
SANB4,2021-10-18,-0.6344
CEBR3,2021-10-18,0.2
CEBR5,2021-10-18,0.2
CEBR6,2021-10-18,0.2
CRPG3,2021-10-18,-1.7230240435
CRPG5,2021-10-18,-1.7230240435
CRPG6,2021-10-18,-1.7230240435
LAVV3,2021-10-19,-0.57639309456
PSSA3,2021-10-21,0.5
AGRO3,2021-10-28,-2.621181215
BEES3,2021-11-01,-0.01614369229
BEES4,2021-11-01,-0.01614369229
BNBR3,2021-11-01,-1.68169770032
BNBR4,2021-11-01,-1.68169770032
COCE3,2021-11-01,-1.277369698
COCE5,2021-11-01,-1.277369698
COCE6,2021-11-01,-1.277369698
ITUB3,2021-11-01,-0.0150025
ITUB4,2021-11-01,-0.0150025
KLBN11,2021-11-01,-0.35204399516
KLBN3,2021-11-01,-0.07040879903
KLBN4,2021-11-01,-0.07040879903
PTNT3,2021-11-01,-0.20265052515
PTNT4,2021-11-01,-0.20265052515
PSSA3,2021-11-01,-0.23447191372
BBDC3,2021-11-03,-0.0146623521
BBDC4,2021-11-03,-0.01612858765
ALPA3,2021-11-04,-0.24398477064
ALPA4,2021-11-04,-0.2683832477
TRPL3,2021-11-04,-1.19316375
TRPL4,2021-11-04,-1.19316375
VULC3,2021-11-04,-0.35
SANB11,2021-11-05,-0.80425973734
SANB3,2021-11-05,-0.38298082731
SANB4,2021-11-05,-0.42127891003
CXSE3,2021-11-05,-0.24461284
LREN3,2021-11-05,0.909090909
MOAR3,2021-11-05,-24.487355178
GGBR3,2021-11-08,-1.59
GGBR4,2021-11-08,-1.59
GRND3,2021-11-08,-0.149262435
GOAU3,2021-11-08,-1.5335
GOAU4,2021-11-08,-1.5335
CIEL3,2021-11-09,-0.02353295157
RANI3,2021-11-09,-0.10133
TGMA3,2021-11-10,-0.24987762741
BEEF3,2021-11-11,-0.3488435008
SMTO3,2021-11-12,-1.4068975303000002
CRFB3,2021-11-16,-0.395197301
RADL3,2021-11-16,-0.10020279485
PEAB3,2021-11-17,-10.37591041
PEAB4,2021-11-17,-11.41350146
ENMT3,2021-11-17,-0.87016458879
ENMT4,2021-11-17,-0.87016458879
GGPS3,2021-11-17,-0.1872685014
JBSS3,2021-11-17,-1.0
MELK3,2021-11-17,-0.2077311181
MILS3,2021-11-18,-0.0700654411
MTRE3,2021-11-18,-0.11764100965
REDE3,2021-11-18,-0.18278040128
REDE4,2021-11-18,-0.18278040128
TFCO4,2021-11-18,-0.04415294228
UNIP3,2021-11-18,-2.98382016949
UNIP5,2021-11-18,-3.28220218644
UNIP6,2021-11-18,-3.28220218644
BPAR3,2021-11-19,-3.80952662635
EMAE3,2021-11-19,-0.42097195625
EMAE4,2021-11-19,-0.46306915145
TUPY3,2021-11-19,-0.120818704
TUPY4,2021-11-19,-0.120818704
ARML3,2021-11-22,-0.0672635129
MODL11,2021-11-22,-0.0669681
MODL3,2021-11-22,-0.0223227
MODL4,2021-11-22,-0.0223227
IGBR3,2021-11-22,10.0
ITUB3,2021-11-22,-0.22486835
ITUB4,2021-11-22,-0.22486835
PTBL3,2021-11-22,-0.5736
PFRM3,2021-11-22,-0.22998434903
BBAS3,2021-11-23,-0.33464767639
ITSA3,2021-11-24,-0.131512
ITSA4,2021-11-24,-0.131512
SEER3,2021-11-24,-0.123470217
WHRL3,2021-11-24,-0.3935099999999999
WHRL4,2021-11-24,-0.43286
EQMA3B,2021-11-26,-1.25
EQPA3,2021-11-26,-0.16
EQPA5,2021-11-26,-0.16
EQPA6,2021-11-26,-0.16
EQPA7,2021-11-26,-0.16
SHUL3,2021-11-26,-0.0316991265
SHUL4,2021-11-26,-0.03486903915
VITT3,2021-11-30,-0.08291325
BEES3,2021-12-01,-0.01614369229
BEES4,2021-12-01,-0.01614369229
CCRO3,2021-12-01,-0.07613868925
ITUB3,2021-12-01,-0.0150025
ITUB4,2021-12-01,-0.0150025
ITSA3,2021-12-01,-0.020000075
ITSA4,2021-12-01,-0.020000075
BBDC3,2021-12-02,-0.0146623521
BBDC4,2021-12-02,-0.01612858765
BSLI3,2021-12-02,-0.1888496648
BSLI4,2021-12-02,-0.2077346310499999
CAML3,2021-12-02,-0.0586994683
PETR3,2021-12-02,-3.09218285
PETR4,2021-12-02,-3.09218285
BMEB3,2021-12-03,0.5
BMEB4,2021-12-03,0.5
AFLT3,2021-12-06,-0.19044237351
ARZZ3,2021-12-06,-0.5515825027
BLAU3,2021-12-06,-0.10431591459
CEEB3,2021-12-06,-1.9403890019
