Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,8.573964787685766,8.580111197026843,8.285093414480741,8.45103660086423,5272200,5624,72033227
2010-01-05,8.46947582888746,8.48791505691069,8.315825461186126,8.340411098550433,2645000,3740,36058062
2010-01-06,8.438743782182074,8.481768647569615,8.266654186457512,8.481768647569615,3187100,3925,43484465
2010-01-07,8.45103660086423,8.45103660086423,8.13143318095382,8.174458046341357,2668500,4308,35710819
2010-01-08,8.285093414480741,8.291229957996231,7.805683351702334,7.934757947864948,4082200,8851,52981702
2010-01-11,8.057676268860899,8.156018818318127,7.940904357206024,8.039237040837667,2100200,3879,27517014
2010-01-12,7.971626538085823,8.315825461186126,7.91017231050064,8.174458046341357,3847800,4416,51094747
2010-01-13,8.291229957996231,8.291229957996231,7.928611538523872,8.057676268860899,3878800,5123,50915451
2010-01-14,8.100701134248435,8.235922139752127,8.033090631496592,8.137579590294898,2866500,4203,37903172
2010-01-15,8.260507777116434,8.260507777116434,7.897879491818488,7.990065766109052,3231400,4500,42162661
2010-01-18,8.051529859519821,8.13143318095382,8.008504994132283,8.051529859519821,1049100,2292,13793102
2010-01-19,7.990065766109052,8.21133650238782,7.983929222593564,8.205190093046742,2382700,5045,31474803
2010-01-20,8.076115496884128,8.19289727436459,7.87329385445418,8.11299395293059,2493600,2816,32615330
2010-01-21,8.063832544027562,8.106847543589513,7.455347885086541,7.707340802245105,4023100,4004,50468040
2010-01-22,7.565983253225924,7.904025901159565,7.498372750474078,7.750365667632642,2541600,3467,31981231
2010-01-26,7.682765030706385,7.713487211586181,7.467640703768695,7.670472212024231,2285900,4459,28153490
2010-01-27,7.652032984001,7.731926439609412,7.473787113109771,7.627447346636693,2917000,3340,36013960
2010-01-28,7.713487211586181,7.79339053302018,7.283258289361977,7.369308020137052,3443800,2810,41594792
2010-01-29,7.381600838819206,7.498372750474078,7.326283154749514,7.467640703768695,2898700,4124,35131147
2010-02-01,7.443064932229975,7.682765030706385,7.424625704206744,7.621300937295616,2621500,3089,32249802
2010-02-02,7.682765030706385,7.95319717588818,7.584422481249155,7.928611538523872,2634600,2548,33439473
2010-02-03,7.95319717588818,7.95319717588818,7.670472212024231,7.836415398407719,3993000,4870,50529539
2010-02-04,7.701194392904028,7.738072848950488,7.1972085585869,7.369308020137052,4171300,3686,50444375
2010-02-05,7.068143828249874,7.357015201454899,6.889897957358645,7.357015201454899,6245900,7965,71960349
2010-02-08,7.381600838819206,7.645886574659923,7.221794195951207,7.621300937295616,4689400,7032,57313103
2010-02-09,7.63359375597777,8.020797812814436,7.565983253225924,7.885586673136333,4204400,7041,53704607
2010-02-10,7.89173308247741,8.082261906225206,7.830268989066641,7.897879491818488,2263200,3764,29388856
2010-02-11,7.879440263795256,8.21133650238782,7.879440263795256,8.21133650238782,3235300,6441,42703017
2010-02-12,8.156018818318127,8.266654186457512,8.008504994132283,8.174458046341357,1711200,5658,22629401
2010-02-17,8.223629321069973,8.32811827986828,8.174458046341357,8.235922139752127,2962600,6275,39868316
2010-02-18,8.186750865023512,8.297376367337309,8.057676268860899,8.242068549093204,2173400,5097,29169246
2010-02-19,8.223629321069973,8.321971870527204,8.125286771612743,8.266654186457512,1886100,5348,25312490
2010-02-22,8.27280059579859,8.352694051407001,8.020797812814436,8.11299395293059,3713900,7330,49365626
